Order ID,Product,Quantity Ordered,Price Each,Date,Time,Street Name,City,State,ZipCode
176577,Apple Airpods Headphones,1,150,04/04/19,7:25:00 PM,260 Spruce St, Dallas,TX,75001
176578,Apple Airpods Headphones,1,150,04/09/19,11:35:00 PM,513 Church St, Boston,MA,02215
176579,AA Batteries (4-pack),1,3.84,04/11/19,10:23:00 AM,886 Jefferson St, New York City,NY,10001
176580,USB-C Charging Cable,1,11.95,04/05/19,12:35:00 AM,886 Willow St, Los Angeles,CA,90001
176581,iPhone,1,700,04/09/19,9:38:00 PM,84 Jackson St, Boston,MA,02215
176582,Bose SoundSport Headphones,1,99.99,04/27/19,12:20:00 PM,178 Lincoln St, Atlanta,GA,30301
176583,AAA Batteries (4-pack),2,2.99,04/20/19,12:00:00 PM,146 Jackson St, Portland,OR,97035
176584,Flatscreen TV,1,300,04/24/19,8:39:00 PM,936 Church St, San Francisco,CA,94016
176585,Bose SoundSport Headphones,1,99.99,04/07/19,11:31:00 AM,823 Highland St, Boston,MA,02215
176585,Bose SoundSport Headphones,1,99.99,04/07/19,11:31:00 AM,823 Highland St, Boston,MA,02215
176586,AAA Batteries (4-pack),2,2.99,04/10/19,5:00:00 PM,365 Center St, San Francisco,CA,94016
176586,Google Phone,1,600,04/10/19,5:00:00 PM,365 Center St, San Francisco,CA,94016
176587,27in FHD Monitor,1,149.99,04/29/19,7:38:00 PM,557 5th St, Los Angeles,CA,90001
176588,20in Monitor,1,109.99,04/02/19,4:00:00 AM,765 Cherry St, Seattle,WA,98101
176589,Lightning Charging Cable,1,14.95,04/04/19,12:23:00 PM,846 Highland St, Atlanta,GA,30301
176590,Google Phone,1,600,04/11/19,11:46:00 AM,873 6th St, New York City,NY,10001
176591,Apple Airpods Headphones,1,150,04/21/19,7:21:00 AM,600 Maple St, Austin,TX,73301
176592,USB-C Charging Cable,1,11.95,04/27/19,1:04:00 PM,352 4th St, Los Angeles,CA,90001
176593,Lightning Charging Cable,2,14.95,04/15/19,1:45:00 PM,906 7th St, Portland,OR,97035
176594,Wired Headphones,1,11.99,04/17/19,11:04:00 PM,63 Maple St, San Francisco,CA,94016
176595,Wired Headphones,3,11.99,04/02/19,9:11:00 AM,383 6th St, Los Angeles,CA,90001
176596,Apple Airpods Headphones,1,150,04/27/19,8:11:00 PM,572 Meadow St, Dallas,TX,75001
176597,USB-C Charging Cable,1,11.95,04/19/19,1:39:00 PM,681 11th St, San Francisco,CA,94016
176598,AAA Batteries (4-pack),2,2.99,04/21/19,8:33:00 PM,294 Park St, San Francisco,CA,94016
176599,Lightning Charging Cable,1,14.95,04/11/19,3:25:00 PM,279 Maple St, New York City,NY,10001
176600,27in 4K Gaming Monitor,1,389.99,04/30/19,3:54:00 PM,87 West St, Boston,MA,02215
176601,USB-C Charging Cable,1,11.95,04/02/19,10:32:00 PM,754 10th St, Los Angeles,CA,90001
176602,Lightning Charging Cable,1,14.95,04/30/19,9:39:00 AM,9 Jefferson St, Dallas,TX,75001
176603,USB-C Charging Cable,1,11.95,04/01/19,7:46:00 AM,858 6th St, San Francisco,CA,94016
176604,USB-C Charging Cable,1,11.95,04/02/19,10:57:00 AM,462 11th St, San Francisco,CA,94016
176605,USB-C Charging Cable,1,11.95,04/15/19,4:29:00 PM,717 Pine St, San Francisco,CA,94016
176606,LG Dryer,1,600,04/21/19,2:16:00 PM,487 Maple St, San Francisco,CA,94016
176607,AAA Batteries (4-pack),2,2.99,04/18/19,12:11:00 PM,689 10th St, Boston,MA,02215
176608,iPhone,1,700,04/11/19,12:01:00 PM,15 Cherry St, San Francisco,CA,94016
176609,Apple Airpods Headphones,1,150,04/11/19,4:59:00 PM,267 11th St, Austin,TX,73301
176610,AAA Batteries (4-pack),1,2.99,04/26/19,12:40:00 AM,382 River St, Dallas,TX,75001
176611,Bose SoundSport Headphones,1,99.99,04/30/19,1:16:00 PM,971 Sunset St, San Francisco,CA,94016
176612,Apple Airpods Headphones,1,150,04/04/19,7:48:00 PM,149 North St, Seattle,WA,98101
176613,USB-C Charging Cable,2,11.95,04/26/19,6:58:00 PM,405 4th St, New York City,NY,10001
176614,AA Batteries (4-pack),1,3.84,04/07/19,9:01:00 PM,647 Jackson St, San Francisco,CA,94016
176615,Lightning Charging Cable,1,14.95,04/30/19,10:35:00 AM,833 River St, Dallas,TX,75001
176616,USB-C Charging Cable,1,11.95,04/05/19,8:40:00 PM,380 Washington St, San Francisco,CA,94016
176617,Apple Airpods Headphones,1,150,04/25/19,8:03:00 AM,319 8th St, Portland,OR,97035
176618,Lightning Charging Cable,2,14.95,04/18/19,9:44:00 PM,273 South St, San Francisco,CA,94016
176619,Flatscreen TV,1,300,04/16/19,6:37:00 PM,116 North St, Los Angeles,CA,90001
176620,USB-C Charging Cable,1,11.95,04/17/19,10:39:00 AM,994 Pine St, Los Angeles,CA,90001
176621,Lightning Charging Cable,1,14.95,04/11/19,4:09:00 PM,863 8th St, Boston,MA,02215
176622,AA Batteries (4-pack),1,3.84,04/11/19,8:16:00 PM,983 11th St, San Francisco,CA,94016
176623,27in FHD Monitor,1,149.99,04/20/19,11:51:00 PM,807 12th St, Atlanta,GA,30301
176624,AA Batteries (4-pack),1,3.84,04/28/19,10:44:00 AM,664 Church St, Seattle,WA,98101
176625,AAA Batteries (4-pack),2,2.99,04/24/19,7:00:00 PM,858 5th St, San Francisco,CA,94016
176626,Bose SoundSport Headphones,1,99.99,04/01/19,9:40:00 PM,491 Chestnut St, Boston,MA,02215
176627,Wired Headphones,1,11.99,04/21/19,2:57:00 PM,994 13th St, Atlanta,GA,30301
176628,Lightning Charging Cable,2,14.95,04/15/19,4:03:00 AM,628 Wilson St, Dallas,TX,75001
176629,USB-C Charging Cable,1,11.95,04/24/19,11:56:00 AM,101 Lincoln St, San Francisco,CA,94016
176630,Google Phone,1,600,04/10/19,5:01:00 AM,770 Maple St, San Francisco,CA,94016
176631,USB-C Charging Cable,1,11.95,04/13/19,6:48:00 PM,292 Dogwood St, San Francisco,CA,94016
176632,AAA Batteries (4-pack),1,2.99,04/14/19,2:28:00 PM,814 Madison St, San Francisco,CA,94016
176633,ThinkPad Laptop,1,999.99,04/23/19,2:03:00 PM,863 Hickory St, Los Angeles,CA,90001
176634,Lightning Charging Cable,1,14.95,04/10/19,8:00:00 AM,311 Madison St, Atlanta,GA,30301
176635,Vareebadd Phone,1,400,04/26/19,9:55:00 AM,85 North St, San Francisco,CA,94016
176636,AA Batteries (4-pack),1,3.84,04/30/19,8:37:00 PM,140 10th St, Boston,MA,02215
176637,AAA Batteries (4-pack),1,2.99,04/17/19,10:03:00 AM,261 Sunset St, New York City,NY,10001
176638,USB-C Charging Cable,1,11.95,04/20/19,8:33:00 AM,869 Cherry St, Boston,MA,02215
176639,Macbook Pro Laptop,1,1700,04/28/19,4:14:00 PM,853 Cedar St, San Francisco,CA,94016
176640,Wired Headphones,2,11.99,04/27/19,10:54:00 PM,164 Lake St, San Francisco,CA,94016
176641,Lightning Charging Cable,1,14.95,04/25/19,9:36:00 PM,655 Sunset St, Boston,MA,02215
176642,AA Batteries (4-pack),1,3.84,04/17/19,6:38:00 PM,72 Elm St, Portland,OR,97035
176643,Macbook Pro Laptop,1,1700,04/27/19,9:32:00 PM,373 Adams St, Boston,MA,02215
176644,USB-C Charging Cable,1,11.95,04/23/19,2:09:00 AM,962 7th St, Los Angeles,CA,90001
176645,AAA Batteries (4-pack),3,2.99,04/26/19,6:38:00 PM,514 Lake St, Dallas,TX,75001
176646,Macbook Pro Laptop,1,1700,04/22/19,7:14:00 AM,657 Adams St, Portland,OR,97035
176647,Google Phone,1,600,04/21/19,7:40:00 PM,273 South St, Los Angeles,CA,90001
176648,27in FHD Monitor,1,149.99,04/24/19,1:17:00 AM,732 2nd St, Portland,OR,97035
176649,USB-C Charging Cable,1,11.95,04/09/19,8:49:00 AM,702 11th St, San Francisco,CA,94016
176650,Lightning Charging Cable,1,14.95,04/12/19,4:47:00 PM,153 River St, Boston,MA,02215
176651,iPhone,1,700,04/07/19,1:14:00 PM,997 South St, Boston,MA,02215
176652,LG Washing Machine,1,600,04/09/19,8:04:00 PM,502 14th St, New York City,NY,10001
176653,AA Batteries (4-pack),1,3.84,04/26/19,7:20:00 PM,285 Chestnut St, San Francisco,CA,94016
176654,USB-C Charging Cable,1,11.95,04/15/19,7:35:00 PM,880 Lakeview St, Seattle,WA,98101
176655,Apple Airpods Headphones,1,150,04/11/19,7:36:00 PM,848 Center St, San Francisco,CA,94016
176656,Google Phone,1,600,04/12/19,4:42:00 PM,12 Lakeview St, New York City,NY,10001
176657,ThinkPad Laptop,1,999.99,04/23/19,10:16:00 AM,774 Forest St, Los Angeles,CA,90001
176658,AAA Batteries (4-pack),2,2.99,04/22/19,8:51:00 AM,573 Pine St, San Francisco,CA,94016
176659,20in Monitor,1,109.99,04/29/19,2:40:00 PM,804 Church St, Dallas,TX,75001
176660,AA Batteries (4-pack),1,3.84,04/16/19,5:10:00 PM,267 West St, Boston,MA,02215
176661,Wired Headphones,1,11.99,04/25/19,8:40:00 PM,522 6th St, Atlanta,GA,30301
176662,34in Ultrawide Monitor,1,379.99,04/05/19,12:46:00 PM,678 Hickory St, Portland,OR,97035
176663,Bose SoundSport Headphones,1,99.99,04/05/19,11:48:00 AM,450 Johnson St, Seattle,WA,98101
176664,AAA Batteries (4-pack),1,2.99,04/13/19,6:59:00 PM,544 Madison St, Los Angeles,CA,90001
176665,ThinkPad Laptop,1,999.99,04/07/19,2:15:00 PM,927 13th St, Dallas,TX,75001
176666,Wired Headphones,1,11.99,04/08/19,4:50:00 PM,382 Forest St, Seattle,WA,98101
176667,27in 4K Gaming Monitor,1,389.99,04/11/19,12:39:00 AM,92 11th St, Los Angeles,CA,90001
176668,AA Batteries (4-pack),1,3.84,04/15/19,8:46:00 PM,56 2nd St, Dallas,TX,75001
176669,27in FHD Monitor,1,149.99,04/08/19,12:57:00 PM,506 Jackson St, Dallas,TX,75001
176670,Apple Airpods Headphones,1,150,04/25/19,9:23:00 PM,892 Willow St, San Francisco,CA,94016
176671,AAA Batteries (4-pack),2,2.99,04/23/19,4:31:00 PM,738 Jefferson St, New York City,NY,10001
176672,Lightning Charging Cable,1,14.95,04/12/19,11:07:00 AM,778 Maple St, New York City,NY,10001
176672,USB-C Charging Cable,1,11.95,04/12/19,11:07:00 AM,778 Maple St, New York City,NY,10001
176673,20in Monitor,1,109.99,04/10/19,8:17:00 AM,952 1st St, Boston,MA,02215
176674,AAA Batteries (4-pack),3,2.99,04/20/19,8:53:00 PM,907 West St, Austin,TX,73301
176675,AAA Batteries (4-pack),1,2.99,04/02/19,9:02:00 AM,933 Meadow St, Seattle,WA,98101
176676,LG Dryer,1,600,04/09/19,12:35:00 AM,788 Lincoln St, Los Angeles,CA,90001
176677,34in Ultrawide Monitor,1,379.99,04/01/19,11:50:00 AM,661 Washington St, Austin,TX,73301
176678,AA Batteries (4-pack),2,3.84,04/19/19,10:12:00 PM,345 Sunset St, San Francisco,CA,94016
176679,Apple Airpods Headphones,1,150,04/16/19,11:12:00 AM,245 West St, Boston,MA,02215
176680,USB-C Charging Cable,1,11.95,04/13/19,11:28:00 AM,368 Main St, Los Angeles,CA,90001
176681,Apple Airpods Headphones,1,150,04/20/19,10:39:00 AM,331 Cherry St, Seattle,WA,98101
176681,ThinkPad Laptop,1,999.99,04/20/19,10:39:00 AM,331 Cherry St, Seattle,WA,98101
176682,Lightning Charging Cable,1,14.95,04/27/19,6:19:00 AM,593 Adams St, Boston,MA,02215
176683,AA Batteries (4-pack),1,3.84,04/03/19,1:54:00 PM,253 Willow St, Los Angeles,CA,90001
176684,USB-C Charging Cable,1,11.95,04/17/19,12:51:00 AM,293 Washington St, Los Angeles,CA,90001
176685,34in Ultrawide Monitor,1,379.99,04/23/19,10:53:00 PM,114 10th St, New York City,NY,10001
176686,Wired Headphones,1,11.99,04/17/19,3:17:00 PM,892 10th St, Austin,TX,73301
176687,Macbook Pro Laptop,1,1700,04/30/19,10:26:00 AM,121 Wilson St, Los Angeles,CA,90001
176688,Flatscreen TV,1,300,04/20/19,6:25:00 PM,229 Church St, San Francisco,CA,94016
176689,Bose SoundSport Headphones,1,99.99,04/24/19,5:15:00 PM,659 Lincoln St, New York City,NY,10001
176689,AAA Batteries (4-pack),2,2.99,04/24/19,5:15:00 PM,659 Lincoln St, New York City,NY,10001
176690,20in Monitor,1,109.99,04/04/19,6:33:00 PM,873 Sunset St, San Francisco,CA,94016
176691,AAA Batteries (4-pack),1,2.99,04/12/19,11:57:00 AM,991 Lincoln St, Los Angeles,CA,90001
176692,Wired Headphones,1,11.99,04/08/19,6:21:00 PM,290 Forest St, San Francisco,CA,94016
176693,AA Batteries (4-pack),1,3.84,04/22/19,9:00:00 AM,252 Walnut St, San Francisco,CA,94016
176694,USB-C Charging Cable,1,11.95,04/05/19,8:46:00 PM,985 Washington St, Atlanta,GA,30301
176695,AA Batteries (4-pack),2,3.84,04/12/19,8:50:00 PM,709 Lake St, Seattle,WA,98101
176696,iPhone,1,700,04/07/19,12:41:00 PM,343 Johnson St, New York City,NY,10001
176697,Wired Headphones,1,11.99,04/20/19,10:38:00 PM,675 Center St, New York City,NY,10001
176698,Bose SoundSport Headphones,1,99.99,04/02/19,4:15:00 PM,232 Lakeview St, San Francisco,CA,94016
176699,Bose SoundSport Headphones,1,99.99,04/28/19,6:04:00 PM,49 Jefferson St, Boston,MA,02215
176700,34in Ultrawide Monitor,1,379.99,04/07/19,11:10:00 PM,967 Walnut St, Dallas,TX,75001
176701,USB-C Charging Cable,1,11.95,04/11/19,1:05:00 PM,128 Church St, Austin,TX,73301
176702,AA Batteries (4-pack),1,3.84,04/23/19,7:44:00 PM,896 Sunset St, Seattle,WA,98101
176703,20in Monitor,1,109.99,04/17/19,10:00:00 AM,748 Washington St, New York City,NY,10001
176704,AA Batteries (4-pack),2,3.84,04/17/19,10:00:00 AM,909 Center St, Seattle,WA,98101
176705,Lightning Charging Cable,2,14.95,04/06/19,9:38:00 AM,503 8th St, Austin,TX,73301
176706,Lightning Charging Cable,1,14.95,04/13/19,1:32:00 PM,309 South St, New York City,NY,10001
176707,Apple Airpods Headphones,1,150,04/13/19,10:34:00 AM,408 Center St, Portland,OR,97035
176708,Wired Headphones,1,11.99,04/28/19,11:03:00 PM,542 Ridge St, New York City,NY,10001
176709,AA Batteries (4-pack),1,3.84,04/24/19,2:17:00 PM,971 Church St, Dallas,TX,75001
176710,20in Monitor,2,109.99,04/07/19,10:00:00 AM,848 West St, Dallas,TX,75001
176711,Flatscreen TV,1,300,04/30/19,10:58:00 AM,796 River St, Dallas,TX,75001
176712,Google Phone,1,600,04/20/19,5:21:00 AM,910 Washington St, San Francisco,CA,94016
176713,Wired Headphones,1,11.99,04/21/19,10:48:00 AM,498 Walnut St, San Francisco,CA,94016
176714,USB-C Charging Cable,1,11.95,04/26/19,11:34:00 PM,303 Spruce St, Los Angeles,CA,90001
176715,Apple Airpods Headphones,1,150,04/27/19,4:43:00 PM,258 Jefferson St, San Francisco,CA,94016
176716,Wired Headphones,1,11.99,04/24/19,2:43:00 PM,794 7th St, Los Angeles,CA,90001
176717,Apple Airpods Headphones,1,150,04/19/19,10:34:00 AM,490 Lakeview St, Atlanta,GA,30301
176718,Lightning Charging Cable,1,14.95,04/22/19,7:14:00 PM,672 Sunset St, Los Angeles,CA,90001
176719,Flatscreen TV,1,300,04/27/19,1:07:00 PM,602 Hickory St, Boston,MA,02215
176720,Lightning Charging Cable,1,14.95,04/21/19,10:35:00 AM,556 South St, Portland,OR,97035
176721,AAA Batteries (4-pack),1,2.99,04/26/19,9:08:00 PM,469 7th St, San Francisco,CA,94016
176722,27in 4K Gaming Monitor,1,389.99,04/01/19,10:57:00 AM,209 14th St, New York City,NY,10001
176723,27in 4K Gaming Monitor,1,389.99,04/19/19,9:31:00 PM,613 12th St, Portland,OR,97035
176724,Lightning Charging Cable,1,14.95,04/26/19,8:59:00 PM,34 12th St, San Francisco,CA,94016
176725,AA Batteries (4-pack),2,3.84,04/15/19,2:33:00 PM,630 14th St, San Francisco,CA,94016
176726,USB-C Charging Cable,1,11.95,04/13/19,6:14:00 PM,979 8th St, Los Angeles,CA,90001
176727,Lightning Charging Cable,1,14.95,04/14/19,2:26:00 PM,218 Hickory St, Los Angeles,CA,90001
176728,Lightning Charging Cable,1,14.95,04/21/19,7:38:00 AM,516 Park St, Atlanta,GA,30301
176729,USB-C Charging Cable,1,11.95,04/24/19,9:57:00 AM,637 9th St, Seattle,WA,98101
176730,Bose SoundSport Headphones,1,99.99,04/17/19,8:27:00 AM,403 Ridge St, New York City,NY,10001
176731,AAA Batteries (4-pack),2,2.99,04/21/19,4:17:00 PM,36 Lincoln St, San Francisco,CA,94016
176732,iPhone,1,700,04/23/19,9:33:00 AM,504 Wilson St, Dallas,TX,75001
176733,20in Monitor,1,109.99,04/11/19,1:31:00 PM,575 Hickory St, San Francisco,CA,94016
176734,Apple Airpods Headphones,1,150,04/03/19,10:13:00 PM,611 Jackson St, New York City,NY,10001
176735,27in FHD Monitor,1,149.99,04/16/19,11:52:00 PM,802 Ridge St, Austin,TX,73301
176736,AA Batteries (4-pack),1,3.84,04/17/19,11:48:00 AM,421 2nd St, Los Angeles,CA,90001
176737,Apple Airpods Headphones,1,150,04/07/19,1:28:00 AM,109 Center St, Los Angeles,CA,90001
176738,AA Batteries (4-pack),1,3.84,04/03/19,1:17:00 PM,661 Center St, San Francisco,CA,94016
176739,34in Ultrawide Monitor,1,379.99,04/05/19,5:38:00 PM,730 6th St, Austin,TX,73301
176739,Google Phone,1,600,04/05/19,5:38:00 PM,730 6th St, Austin,TX,73301
176740,Bose SoundSport Headphones,1,99.99,04/24/19,3:10:00 PM,699 Washington St, Dallas,TX,75001
176741,USB-C Charging Cable,1,11.95,04/29/19,6:49:00 PM,990 Ridge St, San Francisco,CA,94016
176742,Wired Headphones,1,11.99,04/17/19,9:54:00 AM,115 Forest St, Los Angeles,CA,90001
176743,27in 4K Gaming Monitor,1,389.99,04/01/19,9:17:00 AM,570 11th St, Atlanta,GA,30301
176744,Lightning Charging Cable,1,14.95,04/14/19,7:59:00 PM,937 Maple St, Los Angeles,CA,90001
176745,Wired Headphones,1,11.99,04/24/19,9:23:00 AM,461 Adams St, Los Angeles,CA,90001
176746,27in 4K Gaming Monitor,1,389.99,04/08/19,7:04:00 PM,638 Park St, Seattle,WA,98101
176747,Macbook Pro Laptop,1,1700,04/27/19,3:04:00 PM,645 7th St, San Francisco,CA,94016
176748,Flatscreen TV,1,300,04/24/19,3:28:00 PM,339 13th St, Boston,MA,02215
176749,ThinkPad Laptop,1,999.99,04/26/19,7:55:00 AM,322 Adams St, Seattle,WA,98101
176750,AA Batteries (4-pack),1,3.84,04/13/19,11:52:00 PM,255 Cedar St, Austin,TX,73301
176751,AAA Batteries (4-pack),1,2.99,04/18/19,1:01:00 PM,258 4th St, San Francisco,CA,94016
176752,AA Batteries (4-pack),1,3.84,04/13/19,11:59:00 PM,665 Wilson St, San Francisco,CA,94016
176753,USB-C Charging Cable,1,11.95,04/01/19,11:07:00 PM,496 Adams St, Atlanta,GA,30301
176754,34in Ultrawide Monitor,1,379.99,04/02/19,5:07:00 PM,288 Forest St, Los Angeles,CA,90001
176755,27in 4K Gaming Monitor,1,389.99,04/09/19,4:21:00 PM,825 Madison St, Seattle,WA,98101
176756,27in FHD Monitor,1,149.99,04/05/19,5:06:00 PM,348 Lake St, New York City,NY,10001
176757,AA Batteries (4-pack),1,3.84,04/11/19,8:28:00 PM,79 Hickory St, Portland,OR,97035
176758,34in Ultrawide Monitor,1,379.99,04/18/19,9:26:00 PM,166 Highland St, San Francisco,CA,94016
176759,Lightning Charging Cable,1,14.95,04/06/19,12:46:00 PM,864 Main St, Los Angeles,CA,90001
176760,Wired Headphones,1,11.99,04/02/19,8:32:00 PM,813 Highland St, San Francisco,CA,94016
176761,Apple Airpods Headphones,1,150,04/26/19,8:00:00 PM,830 2nd St, San Francisco,CA,94016
176762,AA Batteries (4-pack),1,3.84,04/18/19,2:06:00 PM,977 1st St, Seattle,WA,98101
176763,USB-C Charging Cable,1,11.95,04/25/19,1:36:00 PM,638 Johnson St, San Francisco,CA,94016
176764,Wired Headphones,1,11.99,04/16/19,7:52:00 PM,652 Center St, Atlanta,GA,30301
176765,USB-C Charging Cable,1,11.95,04/14/19,8:44:00 PM,729 Ridge St, San Francisco,CA,94016
176766,AA Batteries (4-pack),2,3.84,04/21/19,7:52:00 PM,84 Johnson St, Boston,MA,02215
176767,27in 4K Gaming Monitor,1,389.99,04/09/19,2:18:00 PM,205 4th St, Atlanta,GA,30301
176768,Wired Headphones,1,11.99,04/04/19,12:03:00 AM,643 Spruce St, Los Angeles,CA,90001
176769,AA Batteries (4-pack),1,3.84,04/29/19,2:14:00 PM,206 10th St, San Francisco,CA,94016
176770,Wired Headphones,1,11.99,04/08/19,5:38:00 PM,345 Church St, San Francisco,CA,94016
176771,Lightning Charging Cable,1,14.95,04/24/19,5:40:00 PM,403 11th St, New York City,NY,10001
176772,AA Batteries (4-pack),1,3.84,04/10/19,9:48:00 PM,426 14th St, New York City,NY,10001
176773,AAA Batteries (4-pack),2,2.99,04/25/19,8:07:00 PM,30 9th St, Portland,ME,04101
176774,Lightning Charging Cable,1,14.95,04/25/19,3:06:00 PM,372 Church St, Los Angeles,CA,90001
176774,USB-C Charging Cable,1,11.95,04/25/19,3:06:00 PM,372 Church St, Los Angeles,CA,90001
176775,USB-C Charging Cable,2,11.95,04/01/19,8:56:00 PM,975 Forest St, San Francisco,CA,94016
176776,Bose SoundSport Headphones,1,99.99,04/24/19,11:28:00 PM,613 Washington St, Seattle,WA,98101
176777,Apple Airpods Headphones,1,150,04/14/19,4:53:00 PM,163 Jackson St, Portland,OR,97035
176778,34in Ultrawide Monitor,1,379.99,04/12/19,5:46:00 PM,201 Madison St, San Francisco,CA,94016
176779,27in FHD Monitor,1,149.99,04/04/19,4:46:00 PM,351 Park St, Atlanta,GA,30301
176780,Lightning Charging Cable,1,14.95,04/18/19,11:51:00 PM,52 Walnut St, New York City,NY,10001
176781,iPhone,1,700,04/03/19,7:37:00 AM,976 Hickory St, Dallas,TX,75001
176781,Lightning Charging Cable,1,14.95,04/03/19,7:37:00 AM,976 Hickory St, Dallas,TX,75001
176782,Apple Airpods Headphones,1,150,04/22/19,1:42:00 PM,993 13th St, San Francisco,CA,94016
176783,Apple Airpods Headphones,1,150,04/05/19,11:40:00 AM,926 North St, San Francisco,CA,94016
176784,AAA Batteries (4-pack),1,2.99,04/08/19,10:14:00 AM,725 Madison St, Los Angeles,CA,90001
176785,Bose SoundSport Headphones,1,99.99,04/03/19,3:39:00 PM,533 Ridge St, Los Angeles,CA,90001
176786,20in Monitor,1,109.99,04/06/19,4:40:00 PM,701 North St, San Francisco,CA,94016
176787,Google Phone,1,600,04/14/19,10:10:00 AM,180 Pine St, Los Angeles,CA,90001
176788,Bose SoundSport Headphones,1,99.99,04/15/19,4:39:00 AM,200 North St, New York City,NY,10001
176789,Lightning Charging Cable,1,14.95,04/21/19,8:15:00 PM,990 Meadow St, San Francisco,CA,94016
176790,AAA Batteries (4-pack),1,2.99,04/28/19,12:07:00 PM,689 9th St, Austin,TX,73301
176791,Google Phone,1,600,04/21/19,11:43:00 AM,908 Jackson St, Los Angeles,CA,90001
176792,27in 4K Gaming Monitor,1,389.99,04/30/19,7:29:00 PM,772 11th St, Atlanta,GA,30301
176793,Wired Headphones,1,11.99,04/17/19,5:09:00 PM,147 South St, San Francisco,CA,94016
176794,Lightning Charging Cable,1,14.95,04/10/19,9:40:00 PM,425 Adams St, Dallas,TX,75001
176795,Wired Headphones,1,11.99,04/13/19,11:46:00 AM,360 Center St, San Francisco,CA,94016
176796,Bose SoundSport Headphones,1,99.99,04/07/19,8:44:00 AM,5 2nd St, Los Angeles,CA,90001
176797,Google Phone,1,600,04/21/19,8:54:00 AM,923 Elm St, Los Angeles,CA,90001
176797,Bose SoundSport Headphones,1,99.99,04/21/19,8:54:00 AM,923 Elm St, Los Angeles,CA,90001
176797,Wired Headphones,1,11.99,04/21/19,8:54:00 AM,923 Elm St, Los Angeles,CA,90001
176798,iPhone,1,700,04/06/19,10:31:00 AM,445 Jefferson St, Atlanta,GA,30301
176799,Wired Headphones,1,11.99,04/03/19,2:24:00 PM,452 Spruce St, Portland,OR,97035
176800,Lightning Charging Cable,1,14.95,04/09/19,11:35:00 AM,766 West St, Atlanta,GA,30301
176801,Vareebadd Phone,1,400,04/28/19,6:52:00 PM,125 North St, San Francisco,CA,94016
176802,AA Batteries (4-pack),1,3.84,04/29/19,5:33:00 PM,627 12th St, Boston,MA,02215
176803,AA Batteries (4-pack),1,3.84,04/01/19,11:00:00 PM,649 7th St, Austin,TX,73301
176804,Bose SoundSport Headphones,1,99.99,04/21/19,9:56:00 PM,690 Walnut St, Seattle,WA,98101
176805,Google Phone,1,600,04/01/19,3:50:00 PM,91 Lincoln St, Portland,OR,97035
176805,USB-C Charging Cable,1,11.95,04/01/19,3:50:00 PM,91 Lincoln St, Portland,OR,97035
176806,Macbook Pro Laptop,1,1700,04/22/19,1:26:00 PM,197 Cherry St, Austin,TX,73301
176807,USB-C Charging Cable,1,11.95,04/21/19,5:13:00 PM,758 Hill St, Seattle,WA,98101
176808,Google Phone,1,600,04/28/19,6:03:00 PM,933 Meadow St, San Francisco,CA,94016
